Date,Open,High,Low,Close,Adj Close,Volume
2014-12-19,91.580002,91.980003,90.879997,91.709999,79.570770,9689200
2014-12-22,92.459999,92.809998,91.849998,92.320000,80.100029,4577200
2014-12-23,92.989998,93.940002,92.650002,93.500000,81.123856,3554200
2014-12-24,93.639999,93.980003,93.269997,93.720001,81.314713,1654200
2014-12-26,93.949997,94.660004,93.720001,94.230003,81.757225,3127800
2014-12-29,94.199997,94.279999,93.589996,93.709999,81.306053,2390500
2014-12-30,93.599998,93.629997,92.510002,92.589996,80.334297,3197400
2014-12-31,92.889999,93.570000,91.449997,91.529999,79.414597,3251100
2015-01-02,91.769997,92.370003,90.660004,91.879997,79.718269,3767900
2015-01-05,90.349998,90.419998,86.599998,87.029999,75.510246,11301400
2015-01-06,87.279999,87.680000,85.169998,86.470001,75.024376,8660600
2015-01-07,87.370003,88.139999,86.419998,87.809998,76.187004,6511100
2015-01-08,89.180000,89.279999,87.839996,88.709999,76.967865,7617800
2015-01-09,88.760002,88.889999,87.019997,87.650002,76.048172,4852200
2015-01-12,87.730003,87.769997,86.070000,86.889999,75.388794,4351600
2015-01-13,87.680000,87.900002,85.199997,86.370003,74.937607,5070400
2015-01-14,84.889999,86.220001,84.269997,86.070000,74.677307,10366700
2015-01-15,85.370003,86.169998,84.300003,84.320000,73.758835,6683900
2015-01-16,84.239998,84.320000,83.050003,83.860001,73.356453,10424800
2015-01-20,84.419998,84.500000,83.190002,83.970001,73.452675,5922300
2015-01-21,83.589996,85.400002,83.589996,85.370003,74.677315,6613100
2015-01-22,86.050003,87.360001,85.430000,86.820000,75.945702,5567800
2015-01-23,86.790001,87.000000,85.199997,85.610001,74.887260,5016900
2015-01-26,85.360001,86.260002,84.900002,86.029999,75.254639,8140500
2015-01-27,79.739998,81.349998,79.099998,79.849998,69.848694,27489500
2015-01-28,80.400002,81.199997,79.959999,80.010002,69.988647,14269300
2015-01-29,79.910004,80.180000,78.809998,80.000000,69.979927,9157000
2015-01-30,79.510002,80.820000,79.419998,79.970001,69.953674,8150700
2015-02-02,80.080002,80.879997,79.489998,80.839996,70.714706,7149000
2015-02-03,81.220001,84.110001,81.150002,83.919998,73.408943,10880700
2015-02-04,82.779999,83.320000,81.660004,81.949997,71.685669,8806500
2015-02-05,82.400002,83.629997,81.870003,83.570000,73.102760,6640200
2015-02-06,83.599998,84.139999,82.800003,83.209999,72.787849,5559300
2015-02-09,83.050003,84.870003,82.949997,84.669998,74.064987,7693800
2015-02-10,85.000000,85.000000,83.459999,83.900002,73.391426,6569100
2015-02-11,83.559998,83.669998,82.239998,83.410004,72.962807,5722600
2015-02-12,84.080002,84.250000,83.309998,83.529999,73.067780,4623000
2015-02-13,84.110001,85.489998,84.029999,85.129997,74.467361,5645500
2015-02-17,84.860001,85.580002,84.199997,85.379997,74.686058,3924400
2015-02-18,84.919998,85.809998,84.580002,84.800003,74.178719,3562900
2015-02-19,83.809998,84.000000,82.209999,83.300003,72.866585,5733500
2015-02-20,83.300003,84.620003,82.400002,84.440002,73.863800,6029400
2015-02-23,83.900002,83.980003,83.139999,83.489998,73.032791,5180000
2015-02-24,83.769997,84.690002,83.599998,84.500000,73.916290,3678700
